                                                   
{'loss': 1.0125, 'grad_norm': 3.7725989818573, 'learning_rate': 2.1276595744680852e-05, 'epoch': 0.32}
{'loss': 1.1114, 'grad_norm': 5.574034214019775, 'learning_rate': 4.2553191489361704e-05, 'epoch': 0.65}
{'loss': 1.116, 'grad_norm': 15.81552505493164, 'learning_rate': 6.382978723404256e-05, 'epoch': 0.97}
{'loss': 2.0281, 'grad_norm': 11.267363548278809, 'learning_rate': 8.510638297872341e-05, 'epoch': 1.29}
{'loss': 2.5959, 'grad_norm': 65.47290802001953, 'learning_rate': 9.998729100230497e-05, 'epoch': 1.61}
{'loss': 3.2893, 'grad_norm': 349.5017395019531, 'learning_rate': 9.976153295151123e-05, 'epoch': 1.94}
{'loss': 5.7538, 'grad_norm': 129.1267852783203, 'learning_rate': 9.925482007867484e-05, 'epoch': 2.26}
{'loss': 8.8069, 'grad_norm': 25.737770080566406, 'learning_rate': 9.847001329696653e-05, 'epoch': 2.58}
{'loss': 7.2181, 'grad_norm': 14.88715648651123, 'learning_rate': 9.741154364451178e-05, 'epoch': 2.9}
{'loss': 7.116, 'grad_norm': 8.43480110168457, 'learning_rate': 9.608538726664224e-05, 'epoch': 3.23}
{'loss': 7.0907, 'grad_norm': 3.3129513263702393, 'learning_rate': 9.449903167443414e-05, 'epoch': 3.55}
                                             
{'eval_loss': 6.987312316894531, 'eval_runtime': 2.397, 'eval_samples_per_second': 91.783, 'eval_steps_per_second': 2.92, 'epoch': 3.77}
{'loss': 7.0546, 'grad_norm': 5.888867378234863, 'learning_rate': 9.26614334700392e-05, 'epoch': 3.87}
{'loss': 6.7389, 'grad_norm': 3.852489948272705, 'learning_rate': 9.058296777749154e-05, 'epoch': 4.19}
{'loss': 6.5712, 'grad_norm': 7.243492603302002, 'learning_rate': 8.827536966450584e-05, 'epoch': 4.52}
{'loss': 6.3862, 'grad_norm': 4.476357936859131, 'learning_rate': 8.57516678860003e-05, 'epoch': 4.84}
{'loss': 6.1655, 'grad_norm': 7.619019508361816, 'learning_rate': 8.302611132343043e-05, 'epoch': 5.16}
{'loss': 5.9959, 'grad_norm': 7.364926815032959, 'learning_rate': 8.011408853525862e-05, 'epoch': 5.48}
{'loss': 5.8013, 'grad_norm': 6.837355136871338, 'learning_rate': 7.703204087277988e-05, 'epoch': 5.81}
{'loss': 5.5859, 'grad_norm': 14.944514274597168, 'learning_rate': 7.379736965185368e-05, 'epoch': 6.13}
{'loss': 5.3681, 'grad_norm': 6.36706018447876, 'learning_rate': 7.04283379046524e-05, 'epoch': 6.45}
{'loss': 5.3059, 'grad_norm': 7.479180812835693, 'learning_rate': 6.694396726613883e-05, 'epoch': 6.77}
{'loss': 5.0643, 'grad_norm': 8.679939270019531, 'learning_rate': 6.336393057745365e-05, 'epoch': 7.1}
{'loss': 5.0238, 'grad_norm': 7.507072448730469, 'learning_rate': 5.9708440812577336e-05, 'epoch': 7.42}
